Nº global;Pasta;Arquivo;Elemento;Caixa na referência 1024x1536
1;01_Cabecalho;001_Cabecalho_Titulo.png;Cabecalho_Titulo;(10, 0, 585, 84)
2;01_Cabecalho;002_KPIs_45_7_9_90.png;KPIs_45_7_9_90;(600, 0, 410, 83)
3;02_Fases;003_Fase_1.png;Fase_1;(116, 98, 145, 62)
4;02_Fases;004_Fase_2.png;Fase_2;(258, 98, 171, 62)
5;02_Fases;005_Fase_3.png;Fase_3;(426, 98, 169, 62)
6;02_Fases;006_Fase_4.png;Fase_4;(591, 98, 159, 62)
7;02_Fases;007_Fase_5.png;Fase_5;(747, 98, 138, 62)
8;02_Fases;008_Fase_6.png;Fase_6;(882, 98, 134, 62)
9;03_Raias;009_Raia_Cliente.png;Raia_Cliente;(9, 169, 104, 87)
10;03_Raias;010_Raia_Vendedor.png;Raia_Vendedor;(9, 257, 104, 115)
11;03_Raias;011_Raia_Gestor_Comercial.png;Raia_Gestor_Comercial;(9, 373, 104, 96)
12;03_Raias;012_Raia_CEO.png;Raia_CEO;(9, 469, 104, 96)
13;03_Raias;013_Raia_Financeiro.png;Raia_Financeiro;(9, 565, 104, 96)
14;03_Raias;014_Raia_Juridico.png;Raia_Juridico;(9, 661, 104, 78)
15;03_Raias;015_Raia_Engenharia.png;Raia_Engenharia;(9, 739, 104, 96)
16;03_Raias;016_Raia_RH.png;Raia_RH;(9, 835, 104, 90)
17;03_Raias;017_Raia_Importacao.png;Raia_Importacao;(9, 925, 104, 98)
18;03_Raias;018_Raia_Logistica.png;Raia_Logistica;(9, 1023, 104, 84)
19;03_Raias;019_Raia_Fornecedor_Equipamento.png;Raia_Fornecedor_Equipamento;(9, 1107, 104, 70)
20;03_Raias;020_Raia_Cadeia_Logistica_Internacional.png;Raia_Cadeia_Logistica_Internacional;(9, 1177, 104, 100)
21;03_Raias;021_Raia_Instalador_Parceiro.png;Raia_Instalador_Parceiro;(9, 1277, 104, 66)
22;03_Raias;022_Raia_Empresa_Manutencao.png;Raia_Empresa_Manutencao;(9, 1343, 104, 66)
23;04_Cards_Extraidos;023_Card_Original_01.png;Card_Original_01;(217, 194, 90, 45)
24;04_Cards_Extraidos;024_Card_Original_02.png;Card_Original_02;(842, 194, 60, 44)
25;04_Cards_Extraidos;025_Card_Original_03.png;Card_Original_03;(307, 195, 57, 44)
26;04_Cards_Extraidos;026_Card_Original_04.png;Card_Original_04;(516, 195, 35, 44)
27;04_Cards_Extraidos;027_Card_Original_05.png;Card_Original_05;(133, 196, 83, 44)
28;04_Cards_Extraidos;028_Card_Original_06.png;Card_Original_06;(432, 199, 60, 45)
29;04_Cards_Extraidos;029_Card_Original_07.png;Card_Original_07;(828, 201, 35, 38)
30;04_Cards_Extraidos;030_Card_Original_08.png;Card_Original_08;(384, 281, 57, 54)
31;04_Cards_Extraidos;031_Card_Original_09.png;Card_Original_09;(125, 286, 61, 47)
32;04_Cards_Extraidos;032_Card_Original_10.png;Card_Original_10;(196, 312, 66, 37)
33;04_Cards_Extraidos;033_Card_Original_11.png;Card_Original_11;(385, 337, 48, 25)
34;04_Cards_Extraidos;034_Card_Original_12.png;Card_Original_12;(280, 347, 72, 27)
35;04_Cards_Extraidos;035_Card_Original_13.png;Card_Original_13;(199, 351, 60, 24)
36;04_Cards_Extraidos;036_Card_Original_14.png;Card_Original_14;(638, 573, 70, 56)
37;04_Cards_Extraidos;037_Card_Original_15.png;Card_Original_15;(155, 588, 67, 62)
38;04_Cards_Extraidos;038_Card_Original_16.png;Card_Original_16;(637, 631, 72, 26)
39;04_Cards_Extraidos;039_Card_Original_17.png;Card_Original_17;(498, 648, 56, 42)
40;04_Cards_Extraidos;040_Card_Original_18.png;Card_Original_18;(543, 648, 53, 42)
41;04_Cards_Extraidos;041_Card_Original_19.png;Card_Original_19;(162, 650, 54, 25)
42;04_Cards_Extraidos;042_Card_Original_20.png;Card_Original_20;(270, 673, 63, 52)
43;04_Cards_Extraidos;043_Card_Original_21.png;Card_Original_21;(334, 673, 64, 51)
44;04_Cards_Extraidos;044_Card_Original_22.png;Card_Original_22;(639, 754, 37, 35)
45;04_Cards_Extraidos;045_Card_Original_23.png;Card_Original_23;(512, 770, 68, 35)
46;04_Cards_Extraidos;046_Card_Original_24.png;Card_Original_24;(588, 770, 37, 36)
47;04_Cards_Extraidos;047_Card_Original_25.png;Card_Original_25;(451, 772, 53, 33)
48;04_Cards_Extraidos;048_Card_Original_26.png;Card_Original_26;(601, 772, 55, 33)
49;04_Cards_Extraidos;049_Card_Original_27.png;Card_Original_27;(437, 810, 70, 44)
50;04_Cards_Extraidos;050_Card_Original_28.png;Card_Original_28;(511, 812, 72, 51)
51;04_Cards_Extraidos;051_Card_Original_29.png;Card_Original_29;(422, 917, 77, 60)
52;04_Cards_Extraidos;052_Card_Original_30.png;Card_Original_30;(178, 992, 65, 43)
53;04_Cards_Extraidos;053_Card_Original_31.png;Card_Original_31;(247, 997, 50, 36)
54;04_Cards_Extraidos;054_Card_Original_32.png;Card_Original_32;(503, 997, 87, 37)
55;04_Cards_Extraidos;055_Card_Original_33.png;Card_Original_33;(234, 1013, 61, 22)
56;04_Cards_Extraidos;056_Card_Original_34.png;Card_Original_34;(708, 1039, 67, 29)
57;04_Cards_Extraidos;057_Card_Original_35.png;Card_Original_35;(256, 1048, 71, 42)
58;04_Cards_Extraidos;058_Card_Original_36.png;Card_Original_36;(696, 1084, 55, 25)
59;04_Cards_Extraidos;059_Card_Original_37.png;Card_Original_37;(478, 1088, 59, 24)
60;04_Cards_Extraidos;060_Card_Original_38.png;Card_Original_38;(141, 1120, 56, 25)
61;04_Cards_Extraidos;061_Card_Original_39.png;Card_Original_39;(203, 1124, 63, 39)
62;04_Cards_Extraidos;062_Card_Original_40.png;Card_Original_40;(127, 1131, 35, 30)
63;04_Cards_Extraidos;063_Card_Original_41.png;Card_Original_41;(596, 1178, 74, 55)
64;04_Cards_Extraidos;064_Card_Original_42.png;Card_Original_42;(420, 1182, 60, 58)
65;04_Cards_Extraidos;065_Card_Original_43.png;Card_Original_43;(219, 1183, 58, 30)
66;04_Cards_Extraidos;066_Card_Original_44.png;Card_Original_44;(657, 1183, 61, 59)
67;04_Cards_Extraidos;067_Card_Original_45.png;Card_Original_45;(278, 1188, 66, 56)
68;04_Cards_Extraidos;068_Card_Original_46.png;Card_Original_46;(736, 1191, 45, 48)
69;04_Cards_Extraidos;069_Card_Original_47.png;Card_Original_47;(205, 1192, 67, 40)
70;04_Cards_Extraidos;070_Card_Original_48.png;Card_Original_48;(505, 1193, 39, 45)
71;04_Cards_Extraidos;071_Card_Original_49.png;Card_Original_49;(553, 1223, 39, 25)
72;04_Cards_Extraidos;072_Card_Original_50.png;Card_Original_50;(830, 1254, 61, 40)
73;04_Cards_Extraidos;073_Card_Original_51.png;Card_Original_51;(771, 1256, 60, 44)
74;04_Cards_Extraidos;074_Card_Original_52.png;Card_Original_52;(758, 1317, 41, 40)
75;05_Rodape;075_Legenda_BPMN.png;Legenda_BPMN;(10, 1415, 165, 115)
76;05_Rodape;076_Status_Integracao.png;Status_Integracao;(183, 1415, 180, 115)
77;05_Rodape;077_Indicadores_Dashboard.png;Indicadores_Dashboard;(370, 1415, 416, 115)
78;05_Rodape;078_Observacoes_Importantes.png;Observacoes_Importantes;(793, 1415, 220, 115)
