Nº global;Tipo;Arquivo;Conteúdo;Pasta
1;Cabeçalho;001_Cabecalho_Principal.png;Cabeçalho principal;01_Cabecalhos_Fases
2;Cabeçalho de fase;002_Fase_1.png;FASE 1 — FUNIL COMERCIAL;01_Cabecalhos_Fases
3;Cabeçalho de fase;003_Fase_2.png;FASE 2 — PREPARAÇÃO DA COMPRA NEGOCIAÇÃO E PRODUÇÃO;01_Cabecalhos_Fases
4;Cabeçalho de fase;004_Fase_3.png;FASE 3 — EMBARQUE E TRÂNSITO MARÍTIMO (~90 DIAS);01_Cabecalhos_Fases
5;Cabeçalho de fase;005_Fase_4.png;FASE 4 — DESEMBARAÇO E ENTREGA NACIONAL;01_Cabecalhos_Fases
6;Cabeçalho de fase;006_Fase_5.png;FASE 5 — INSTALAÇÃO E ENTREGA TÉCNICA;01_Cabecalhos_Fases
7;Cabeçalho de fase;007_Fase_6.png;FASE 6 — PÓS-VENDA E MANUTENÇÃO PREVENTIVA;01_Cabecalhos_Fases
8;Raia;008_Raia_CLIENTE.png;CLIENTE;02_Raias
9;Raia;009_Raia_VENDEDOR.png;VENDEDOR;02_Raias
10;Raia;010_Raia_GESTOR_COMERCIAL.png;GESTOR COMERCIAL;02_Raias
11;Raia;011_Raia_CEO.png;CEO;02_Raias
12;Raia;012_Raia_FINANCEIRO.png;FINANCEIRO;02_Raias
13;Raia;013_Raia_JURÍDICO.png;JURÍDICO;02_Raias
14;Raia;014_Raia_ENGENHARIA.png;ENGENHARIA;02_Raias
15;Raia;015_Raia_RH.png;RH;02_Raias
16;Raia;016_Raia_IMPORTAÇÃO.png;IMPORTAÇÃO;02_Raias
17;Raia;017_Raia_FORNECEDOR_DO_EQUIPAMENTO.png;FORNECEDOR DO EQUIPAMENTO;02_Raias
18;Raia;018_Raia_CADEIA_LOGÍSTICA_INTERNACIONAL.png;CADEIA LOGÍSTICA INTERNACIONAL;02_Raias
19;Raia;019_Raia_INSTALADOR_(PARCEIRO).png;INSTALADOR (PARCEIRO);02_Raias
20;Raia;020_Raia_EMPRESA_DE_MANUTENÇÃO.png;EMPRESA DE MANUTENÇÃO;02_Raias
21;Card;021_Card_01.png;01 — Manifesta interesse;03_Cards
22;Card;022_Card_02.png;02 — Qualifica o Lead;03_Cards
23;Card;023_Card_03.png;03 — Preenche o Formulário de Equipamento;03_Cards
24;Card;024_Card_04.png;04 — Envia cotação ao fornecedor;03_Cards
25;Card;025_Card_05.png;05 — Recebe a cotação;03_Cards
26;Card;026_Card_06.png;06 — Responde com preço e specs;03_Cards
27;Card;027_Card_07.png;07 — Precifica a proposta;03_Cards
28;Card;028_Card_08.png;08 — Aprova envio da proposta?;03_Cards
29;Card;029_Card_09.png;09 — Aprova envio da proposta?;03_Cards
